Unique_ID,Protein.Accession,Gene,Protein.Full.Name,Entry,Entry.name,Status,Protein.names,Gene.names,Organism,Gene.ontology.GO,Gene.ontology.IDs,ID,Protein.Accession1
Spis_Protein1635,A0A2B4RWK2,sae1,SUMO-activating enzyme subunit 1,A0A2B4RWK2,A0A2B4RWK2_STYPI,unreviewed,SUMO-activating enzyme subunit 1,sae1 AWC38_SpisGene14820,Stylophora pistillata (Smooth cauliflower coral),ubiquitin-like modifier activating enzyme activity [GO:0008641],GO:0008641,A0A2B4RWK2,A0A2B4RWK2
Spis_Protein1636,A0A2B4RWK4,HS2ST1,Heparan sulfate 2-O-sulfotransferase 1,A0A2B4RWK4,A0A2B4RWK4_STYPI,unreviewed,Heparan sulfate 2-O-sulfotransferase 1,HS2ST1 AWC38_SpisGene14316,Stylophora pistillata (Smooth cauliflower coral),Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; sulfotransferase activity [GO:0008146],GO:0000139; GO:0008146; GO:0016021,A0A2B4RWK4,A0A2B4RWK4
Spis_Protein1637,A0A2B4RWL0,rsph1,Radial spoke head 1-like,A0A2B4RWL0,A0A2B4RWL0_STYPI,unreviewed,Radial spoke head 1-like,rsph1 AWC38_SpisGene14932,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4RWL0,A0A2B4RWL0
Spis_Protein1638,A0A2B4RWL2,F9,Coagulation factor IX,A0A2B4RWL2,A0A2B4RWL2_STYPI,unreviewed,Coagulation factor IX,F9 AWC38_SpisGene14343,Stylophora pistillata (Smooth cauliflower coral),integral component of membrane [GO:0016021]; serine-type endopeptidase activity [GO:0004252],GO:0004252; GO:0016021,A0A2B4RWL2,A0A2B4RWL2
Spis_Protein1639,A0A2B4RWL3,Htr4,5-hydroxytryptamine receptor 4,A0A2B4RWL3,A0A2B4RWL3_STYPI,unreviewed,5-hydroxytryptamine receptor 4,Htr4 AWC38_SpisGene14813,Stylophora pistillata (Smooth cauliflower coral),integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930],GO:0004930; GO:0016021,A0A2B4RWL3,A0A2B4RWL3
Spis_Protein1640,A0A2B4RWL8,Faim,Fas apoptotic inhibitory molecule 1,A0A2B4RWL8,A0A2B4RWL8_STYPI,unreviewed,Fas apoptotic inhibitory molecule 1,Faim AWC38_SpisGene14943,Stylophora pistillata (Smooth cauliflower coral),negative regulation of apoptotic process [GO:0043066],GO:0043066,A0A2B4RWL8,A0A2B4RWL8
Spis_Protein1641,A0A2B4RWL9,RNF40,E3 ubiquitin protein ligase,A0A2B4RWL9,A0A2B4RWL9_STYPI,unreviewed,E3 ubiquitin protein ligase (EC 2.3.2.27),RNF40 AWC38_SpisGene14580,Stylophora pistillata (Smooth cauliflower coral),nucleus [GO:0005634]; metal ion binding [GO:0046872]; ubiquitin-protein transferase activity [GO:0004842]; histone monoubiquitination [GO:0010390],GO:0004842; GO:0005634; GO:0010390; GO:0046872,A0A2B4RWL9,A0A2B4RWL9
Spis_Protein1642,A0A2B4RWM1,COPZ1,Coatomer subunit zeta,A0A2B4RWM1,A0A2B4RWM1_STYPI,unreviewed,Coatomer subunit zeta,COPZ1 AWC38_SpisGene14812,Stylophora pistillata (Smooth cauliflower coral),"COPI vesicle coat [GO:0030126]; Golgi membrane [GO:0000139]; protein transport [GO:0015031]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]",GO:0000139; GO:0006890; GO:0015031; GO:0030126,A0A2B4RWM1,A0A2B4RWM1
Spis_Protein1643,A0A2B4RWN5,BOB1,Protein BOBBER 1,A0A2B4RWN5,A0A2B4RWN5_STYPI,unreviewed,Protein BOBBER 1,BOB1 AWC38_SpisGene14888,Stylophora pistillata (Smooth cauliflower coral),cellular protein modification process [GO:0006464],GO:0006464,A0A2B4RWN5,A0A2B4RWN5
Spis_Protein1644,A0A2B4RWN6,AWC38_SpisGene14325,Uncharacterized protein,A0A2B4RWN6,A0A2B4RWN6_STYPI,unreviewed,Uncharacterized protein,AWC38_SpisGene14325,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4RWN6,A0A2B4RWN6
Spis_Protein1645,A0A2B4RWP5,GAREM,GRB2-associated and regulator of MAPK protein,A0A2B4RWP5,A0A2B4RWP5_STYPI,unreviewed,GRB2-associated and regulator of MAPK protein,GAREM AWC38_SpisGene14879,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4RWP5,A0A2B4RWP5
Spis_Protein1646,A0A2B4RWP8,PC6,Proprotein convertase subtilisin/kexin type 5,A0A2B4RWP8,A0A2B4RWP8_STYPI,unreviewed,Proprotein convertase subtilisin/kexin type 5,PC6 AWC38_SpisGene14898,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4RWP8,A0A2B4RWP8
Spis_Protein1647,A0A2B4RWP9,Sh3pxd2b,SH3 and PX domain-containing protein 2B,A0A2B4RWP9,A0A2B4RWP9_STYPI,unreviewed,SH3 and PX domain-containing protein 2B,Sh3pxd2b AWC38_SpisGene13911,Stylophora pistillata (Smooth cauliflower coral),phosphatidylinositol binding [GO:0035091],GO:0035091,A0A2B4RWP9,A0A2B4RWP9
Spis_Protein1648,A0A2B4RWR4,Ankrd13d,Ankyrin repeat domain-containing protein 13D,A0A2B4RWR4,A0A2B4RWR4_STYPI,unreviewed,Ankyrin repeat domain-containing protein 13D,Ankrd13d AWC38_SpisGene14858,Stylophora pistillata (Smooth cauliflower coral),late endosome [GO:0005770]; plasma membrane [GO:0005886],GO:0005770; GO:0005886,A0A2B4RWR4,A0A2B4RWR4
Spis_Protein1649,A0A2B4RWS2,Echdc3,"Enoyl-CoA hydratase domain-containing protein 3, mitochondrial",A0A2B4RWS2,A0A2B4RWS2_STYPI,unreviewed,"Enoyl-CoA hydratase domain-containing protein 3, mitochondrial",Echdc3 AWC38_SpisGene12575,Stylophora pistillata (Smooth cauliflower coral),catalytic activity [GO:0003824],GO:0003824,A0A2B4RWS2,A0A2B4RWS2
Spis_Protein1650,A0A2B4RWS7,EEF1E1,Eukaryotic translation elongation factor 1 epsilon-1,A0A2B4RWS7,A0A2B4RWS7_STYPI,unreviewed,Eukaryotic translation elongation factor 1 epsilon-1,EEF1E1 AWC38_SpisGene14876,Stylophora pistillata (Smooth cauliflower coral),"aminoacyl-tRNA synthetase multienzyme complex [GO:0017101]; translation elongation factor activity [GO:0003746]; positive regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043517]",GO:0003746; GO:0017101; GO:0043517,A0A2B4RWS7,A0A2B4RWS7
Spis_Protein1651,A0A2B4RWT2,STT3A,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A,A0A2B4RWT2,A0A2B4RWT2_STYPI,unreviewed,Dolichyl-diphosphooligosaccharide--protein glycotransferase (EC 2.4.99.18),STT3A AWC38_SpisGene12546,Stylophora pistillata (Smooth cauliflower coral),integral component of membrane [GO:0016021]; dolichyl-diphosphooligosaccharide-protein glycotransferase activity [GO:0004579]; metal ion binding [GO:0046872]; protein glycosylation [GO:0006486],GO:0004579; GO:0006486; GO:0016021; GO:0046872,A0A2B4RWT2,A0A2B4RWT2
Spis_Protein1652,A0A2B4RWT3,mgat4b,"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B",A0A2B4RWT3,A0A2B4RWT3_STYPI,unreviewed,"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B",mgat4b AWC38_SpisGene14741,Stylophora pistillata (Smooth cauliflower coral),"transferase activity, transferring glycosyl groups [GO:0016757]",GO:0016757,A0A2B4RWT3,A0A2B4RWT3
Spis_Protein1653,A0A2B4RWT7,AWC38_SpisGene14731,Clavaminate synthase-like protein,A0A2B4RWT7,A0A2B4RWT7_STYPI,unreviewed,Clavaminate synthase-like protein,AWC38_SpisGene14731,Stylophora pistillata (Smooth cauliflower coral),oxidoreductase activity [GO:0016491],GO:0016491,A0A2B4RWT7,A0A2B4RWT7
Spis_Protein1654,A0A2B4RWT9,VIL1,Villin-1,A0A2B4RWT9,A0A2B4RWT9_STYPI,unreviewed,Villin-1,VIL1 AWC38_SpisGene14255,Stylophora pistillata (Smooth cauliflower coral),actin filament binding [GO:0051015]; protein dimerization activity [GO:0046983]; cytoskeleton organization [GO:0007010],GO:0007010; GO:0046983; GO:0051015,A0A2B4RWT9,A0A2B4RWT9
Spis_Protein1655,A0A2B4RWU0,GLG1,Golgi apparatus protein 1,A0A2B4RWU0,A0A2B4RWU0_STYPI,unreviewed,Golgi apparatus protein 1,GLG1 AWC38_SpisGene14278,Stylophora pistillata (Smooth cauliflower coral),Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021],GO:0000139; GO:0016021,A0A2B4RWU0,A0A2B4RWU0
Spis_Protein1656,A0A2B4RWU3,SRP14,Signal recognition particle 14 kDa protein,A0A2B4RWU3,A0A2B4RWU3_STYPI,unreviewed,Signal recognition particle 14 kDa protein,SRP14 AWC38_SpisGene14828,Stylophora pistillata (Smooth cauliflower coral),"signal recognition particle, endoplasmic reticulum targeting [GO:0005786]; 7S RNA binding [GO:0008312]; endoplasmic reticulum signal peptide binding [GO:0030942]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]",GO:0005786; GO:0006614; GO:0008312; GO:0030942,A0A2B4RWU3,A0A2B4RWU3
Spis_Protein1657,A0A2B4RWU8,HET-E1,Vegetative incompatibility protein HET-E-1,A0A2B4RWU8,A0A2B4RWU8_STYPI,unreviewed,Vegetative incompatibility protein HET-E-1,HET-E1 AWC38_SpisGene14724,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4RWU8,A0A2B4RWU8
Spis_Protein1658,A0A2B4RWV2,RH47,"DEAD-box ATP-dependent RNA helicase 47, mitochondrial",A0A2B4RWV2,A0A2B4RWV2_STYPI,unreviewed,RNA helicase (EC 3.6.4.13),RH47 AWC38_SpisGene12523,Stylophora pistillata (Smooth cauliflower coral),ATP binding [GO:0005524]; nucleic acid binding [GO:0003676]; RNA helicase activity [GO:0003724],GO:0003676; GO:0003724; GO:0005524,A0A2B4RWV2,A0A2B4RWV2
Spis_Protein1659,A0A2B4RWV5,AWC38_SpisGene14732,Uncharacterized protein,A0A2B4RWV5,A0A2B4RWV5_STYPI,unreviewed,Uncharacterized protein,AWC38_SpisGene14732,Stylophora pistillata (Smooth cauliflower coral),oxidoreductase activity [GO:0016491],GO:0016491,A0A2B4RWV5,A0A2B4RWV5
Spis_Protein1660,A0A2B4RWV6,AWC38_SpisGene13399,Uncharacterized protein,A0A2B4RWV6,A0A2B4RWV6_STYPI,unreviewed,Uncharacterized protein,AWC38_SpisGene13399,Stylophora pistillata (Smooth cauliflower coral),integral component of membrane [GO:0016021],GO:0016021,A0A2B4RWV6,A0A2B4RWV6
Spis_Protein1661,A0A2B4RWV7,PKM,Pyruvate kinase,A0A2B4RWV7,A0A2B4RWV7_STYPI,unreviewed,Pyruvate kinase (EC 2.7.1.40),PKM AWC38_SpisGene13856,Stylophora pistillata (Smooth cauliflower coral),ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; potassium ion binding [GO:0030955]; pyruvate kinase activity [GO:0004743],GO:0000287; GO:0004743; GO:0005524; GO:0016301; GO:0030955,A0A2B4RWV7,A0A2B4RWV7
Spis_Protein1662,A0A2B4RWW0,MIEN1,Migration and invasion enhancer 1,A0A2B4RWW0,A0A2B4RWW0_STYPI,unreviewed,Migration and invasion enhancer 1,MIEN1 AWC38_SpisGene14464,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4RWW0,A0A2B4RWW0
Spis_Protein1663,A0A2B4RWW6,Jmjd7,JmjC domain-containing protein 7,A0A2B4RWW6,A0A2B4RWW6_STYPI,unreviewed,JmjC domain-containing protein 7,Jmjd7 AWC38_SpisGene13846,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4RWW6,A0A2B4RWW6
Spis_Protein1664,A0A2B4RWW9,Psmb4,Proteasome subunit beta,A0A2B4RWW9,A0A2B4RWW9_STYPI,unreviewed,Proteasome subunit beta (EC 3.4.25.1),Psmb4 AWC38_SpisGene14478,Stylophora pistillata (Smooth cauliflower coral),cytoplasm [GO:0005737]; nucleus [GO:0005634]; proteasome core complex [GO:0005839]; threonine-type endopeptidase activity [GO:0004298]; proteolysis involved in cellular protein catabolic process [GO:0051603],GO:0004298; GO:0005634; GO:0005737; GO:0005839; GO:0051603,A0A2B4RWW9,A0A2B4RWW9
Spis_Protein1665,A0A2B4RWX7,daw1,Dynein assembly factor with WDR repeat domains 1,A0A2B4RWX7,A0A2B4RWX7_STYPI,unreviewed,Dynein assembly factor with WDR repeat domains 1,daw1 AWC38_SpisGene13374,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4RWX7,A0A2B4RWX7
Spis_Protein1666,A0A2B4RWY4,Mgat1,"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",A0A2B4RWY4,A0A2B4RWY4_STYPI,unreviewed,"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",Mgat1 AWC38_SpisGene14816,Stylophora pistillata (Smooth cauliflower coral),integral component of membrane [GO:0016021]; acetylglucosaminyltransferase activity [GO:0008375]; metal ion binding [GO:0046872]; protein glycosylation [GO:0006486],GO:0006486; GO:0008375; GO:0016021; GO:0046872,A0A2B4RWY4,A0A2B4RWY4
Spis_Protein1667,A0A2B4RWY8,Clpp,ATP-dependent Clp protease proteolytic subunit,A0A2B4RWY8,A0A2B4RWY8_STYPI,unreviewed,ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92),Clpp AWC38_SpisGene14671,Stylophora pistillata (Smooth cauliflower coral),serine-type endopeptidase activity [GO:0004252],GO:0004252,A0A2B4RWY8,A0A2B4RWY8
Spis_Protein1668,A0A2B4RWZ0,UBE2N,Ubiquitin-conjugating enzyme E2 N,A0A2B4RWZ0,A0A2B4RWZ0_STYPI,unreviewed,Ubiquitin-conjugating enzyme E2 N,UBE2N AWC38_SpisGene14173,Stylophora pistillata (Smooth cauliflower coral),ATP binding [GO:0005524]; transferase activity [GO:0016740],GO:0005524; GO:0016740,A0A2B4RWZ0,A0A2B4RWZ0
Spis_Protein1669,A0A2B4RWZ5,Acin1,Apoptotic chromatin condensation inducer in the nucleus,A0A2B4RWZ5,A0A2B4RWZ5_STYPI,unreviewed,Apoptotic chromatin condensation inducer in the nucleus,Acin1 AWC38_SpisGene13821,Stylophora pistillata (Smooth cauliflower coral),RNA binding [GO:0003723],GO:0003723,A0A2B4RWZ5,A0A2B4RWZ5
Spis_Protein1670,A0A2B4RWZ7,EIF2D,Eukaryotic translation initiation factor 2D,A0A2B4RWZ7,A0A2B4RWZ7_STYPI,unreviewed,Eukaryotic translation initiation factor 2D (Ligatin),EIF2D AWC38_SpisGene14654,Stylophora pistillata (Smooth cauliflower coral),translation initiation factor activity [GO:0003743]; formation of translation preinitiation complex [GO:0001731],GO:0001731; GO:0003743,A0A2B4RWZ7,A0A2B4RWZ7
Spis_Protein1671,A0A2B4RX01,Mmab,Corrinoid adenosyltransferase,A0A2B4RX01,A0A2B4RX01_STYPI,unreviewed,Corrinoid adenosyltransferase (EC 2.5.1.17),Mmab AWC38_SpisGene12486,Stylophora pistillata (Smooth cauliflower coral),"ATP binding [GO:0005524]; cob(I)yrinic acid a,c-diamide adenosyltransferase activity [GO:0008817]",GO:0005524; GO:0008817,A0A2B4RX01,A0A2B4RX01
Spis_Protein1672,A0A2B4RX02,PANK4,Pantothenate kinase 4,A0A2B4RX02,A0A2B4RX02_STYPI,unreviewed,Inactive pantothenic acid kinase 4,PANK4 AWC38_SpisGene14748,Stylophora pistillata (Smooth cauliflower coral),ATP binding [GO:0005524]; pantothenate kinase activity [GO:0004594]; coenzyme A biosynthetic process [GO:0015937],GO:0004594; GO:0005524; GO:0015937,A0A2B4RX02,A0A2B4RX02
Spis_Protein1673,A0A2B4RX07,Cyp4f1,Cytochrome P450 4F1,A0A2B4RX07,A0A2B4RX07_STYPI,unreviewed,Cytochrome P450 4F1,Cyp4f1 AWC38_SpisGene14670,Stylophora pistillata (Smooth cauliflower coral),"integral component of membrane [GO:0016021]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]",GO:0004497; GO:0005506; GO:0016021; GO:0016705; GO:0020037,A0A2B4RX07,A0A2B4RX07
Spis_Protein1674,A0A2B4RX12,HMCN1,Hemicentin-1,A0A2B4RX12,A0A2B4RX12_STYPI,unreviewed,Hemicentin-1,HMCN1 AWC38_SpisGene14421,Stylophora pistillata (Smooth cauliflower coral),nematocyst [GO:0042151]; metalloendopeptidase activity [GO:0004222]; toxin activity [GO:0090729]; zinc ion binding [GO:0008270],GO:0004222; GO:0008270; GO:0042151; GO:0090729,A0A2B4RX12,A0A2B4RX12
Spis_Protein1675,A0A2B4RX14,AWC38_SpisGene13807,V-type proton ATPase subunit G,A0A2B4RX14,A0A2B4RX14_STYPI,unreviewed,V-type proton ATPase subunit G,AWC38_SpisGene13807,Stylophora pistillata (Smooth cauliflower coral),vacuolar proton-transporting V-type ATPase complex [GO:0016471]; ATPase-coupled transmembrane transporter activity [GO:0042626]; proton transmembrane transport [GO:1902600],GO:0016471; GO:0042626; GO:1902600,A0A2B4RX14,A0A2B4RX14
Spis_Protein1676,A0A2B4RX17,PEX11G,Peroxisomal membrane protein 11C,A0A2B4RX17,A0A2B4RX17_STYPI,unreviewed,Peroxisomal membrane protein 11C,PEX11G AWC38_SpisGene13332,Stylophora pistillata (Smooth cauliflower coral),integral component of peroxisomal membrane [GO:0005779]; peroxisome fission [GO:0016559],GO:0005779; GO:0016559,A0A2B4RX17,A0A2B4RX17
Spis_Protein1677,A0A2B4RX20,vac14,Protein VAC14-like,A0A2B4RX20,A0A2B4RX20_STYPI,unreviewed,Protein VAC14 homolog,vac14 AWC38_SpisGene25891,Stylophora pistillata (Smooth cauliflower coral),PAS complex [GO:0070772]; phosphatidylinositol biosynthetic process [GO:0006661],GO:0006661; GO:0070772,A0A2B4RX20,A0A2B4RX20
Spis_Protein1678,A0A2B4RX21,Unc5b,Netrin receptor UNC5B,A0A2B4RX21,A0A2B4RX21_STYPI,unreviewed,Netrin receptor UNC5B,Unc5b AWC38_SpisGene14714,Stylophora pistillata (Smooth cauliflower coral),integral component of membrane [GO:0016021],GO:0016021,A0A2B4RX21,A0A2B4RX21
Spis_Protein1679,A0A2B4RX22,FBXW7,F-box/WD repeat-containing protein 7,A0A2B4RX22,A0A2B4RX22_STYPI,unreviewed,F-box/WD repeat-containing protein 7,FBXW7 AWC38_SpisGene14411,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4RX22,A0A2B4RX22
Spis_Protein1680,A0A2B4RX26,impad1,Inositol monophosphatase 3,A0A2B4RX26,A0A2B4RX26_STYPI,unreviewed,Inositol monophosphatase 3,impad1 AWC38_SpisGene14635,Stylophora pistillata (Smooth cauliflower coral),integral component of membrane [GO:0016021]; inositol phosphate dephosphorylation [GO:0046855]; phosphatidylinositol phosphorylation [GO:0046854],GO:0016021; GO:0046854; GO:0046855,A0A2B4RX26,A0A2B4RX26
Spis_Protein1681,A0A2B4RX27,Apeh,Acylamino-acid-releasing enzyme,A0A2B4RX27,A0A2B4RX27_STYPI,unreviewed,Post-proline cleaving enzyme (EC 3.4.21.26) (Prolyl endopeptidase),Apeh AWC38_SpisGene14174,Stylophora pistillata (Smooth cauliflower coral),serine-type endopeptidase activity [GO:0004252],GO:0004252,A0A2B4RX27,A0A2B4RX27
Spis_Protein1682,A0A2B4RX33,chmp7,Charged multivesicular body protein 7,A0A2B4RX33,A0A2B4RX33_STYPI,unreviewed,Charged multivesicular body protein 7,chmp7 AWC38_SpisGene14394,Stylophora pistillata (Smooth cauliflower coral),vacuolar transport [GO:0007034],GO:0007034,A0A2B4RX33,A0A2B4RX33
Spis_Protein1683,A0A2B4RX36,SDCBP,Syntenin-1,A0A2B4RX36,A0A2B4RX36_STYPI,unreviewed,Syntenin-1,SDCBP AWC38_SpisGene14640,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4RX36,A0A2B4RX36
Spis_Protein1684,A0A2B4RX37,Uroc1,Urocanate hydratase,A0A2B4RX37,A0A2B4RX37_STYPI,unreviewed,Imidazolonepropionate hydrolase (EC 4.2.1.49),Uroc1 AWC38_SpisGene14169,Stylophora pistillata (Smooth cauliflower coral),urocanate hydratase activity [GO:0016153]; histidine catabolic process to glutamate and formamide [GO:0019556]; histidine catabolic process to glutamate and formate [GO:0019557],GO:0016153; GO:0019556; GO:0019557,A0A2B4RX37,A0A2B4RX37
Spis_Protein1685,A0A2B4RX42,AWC38_SpisGene14629,Uncharacterized protein,A0A2B4RX42,A0A2B4RX42_STYPI,unreviewed,Uncharacterized protein,AWC38_SpisGene14629,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4RX42,A0A2B4RX42
Spis_Protein1686,A0A2B4RX46,ITGA9,Integrin alpha-9,A0A2B4RX46,A0A2B4RX46_STYPI,unreviewed,Integrin alpha-9,ITGA9 AWC38_SpisGene14132,Stylophora pistillata (Smooth cauliflower coral),integrin complex [GO:0008305]; cell adhesion [GO:0007155]; integrin-mediated signaling pathway [GO:0007229],GO:0007155; GO:0007229; GO:0008305,A0A2B4RX46,A0A2B4RX46
Spis_Protein1687,A0A2B4RX48,AWC38_SpisGene12443,Uncharacterized protein,A0A2B4RX48,A0A2B4RX48_STYPI,unreviewed,Uncharacterized protein,AWC38_SpisGene12443,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4RX48,A0A2B4RX48
Spis_Protein1688,A0A2B4RX49,POLDIP3,Polymerase delta-interacting protein 3,A0A2B4RX49,A0A2B4RX49_STYPI,unreviewed,Polymerase delta-interacting protein 3,POLDIP3 AWC38_SpisGene14734,Stylophora pistillata (Smooth cauliflower coral),RNA binding [GO:0003723],GO:0003723,A0A2B4RX49,A0A2B4RX49
Spis_Protein1689,A0A2B4RX57,AWC38_SpisGene14721,ATP-dependent (S)-NAD(P)H-hydrate dehydratase,A0A2B4RX57,A0A2B4RX57_STYPI,unreviewed,ATP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.93) (ATP-dependent NAD(P)HX dehydratase),AWC38_SpisGene14721,Stylophora pistillata (Smooth cauliflower coral),ADP-dependent NAD(P)H-hydrate dehydratase activity [GO:0052855]; ATP binding [GO:0005524]; ATP-dependent NAD(P)H-hydrate dehydratase activity [GO:0047453]; nicotinamide nucleotide metabolic process [GO:0046496],GO:0005524; GO:0046496; GO:0047453; GO:0052855,A0A2B4RX57,A0A2B4RX57
Spis_Protein1690,A0A2B4RX58,DDHD1,Phospholipase DDHD1,A0A2B4RX58,A0A2B4RX58_STYPI,unreviewed,Phospholipase DDHD1,DDHD1 AWC38_SpisGene13280,Stylophora pistillata (Smooth cauliflower coral),metal ion binding [GO:0046872],GO:0046872,A0A2B4RX58,A0A2B4RX58
Spis_Protein1691,A0A2B4RX59,ATAD1,ATPase family AAA domain-containing protein 1,A0A2B4RX59,A0A2B4RX59_STYPI,unreviewed,ATPase family AAA domain-containing protein 1,ATAD1 AWC38_SpisGene12425,Stylophora pistillata (Smooth cauliflower coral),integral component of membrane [GO:0016021]; ATP binding [GO:0005524],GO:0005524; GO:0016021,A0A2B4RX59,A0A2B4RX59
Spis_Protein1692,A0A2B4RX65,HMGA2,High mobility group protein HMGI-C,A0A2B4RX65,A0A2B4RX65_STYPI,unreviewed,High mobility group protein HMGI-C,HMGA2 AWC38_SpisGene14113,Stylophora pistillata (Smooth cauliflower coral),"chromatin [GO:0000785]; nucleus [GO:0005634]; DNA binding [GO:0003677]; regulation of transcription, DNA-templated [GO:0006355]",GO:0000785; GO:0003677; GO:0005634; GO:0006355,A0A2B4RX65,A0A2B4RX65
Spis_Protein1693,A0A2B4RX66,COX4I2,"Cytochrome c oxidase subunit 4 isoform 2, mitochondrial",A0A2B4RX66,A0A2B4RX66_STYPI,unreviewed,"Cytochrome c oxidase subunit 4 isoform 2, mitochondrial",COX4I2 AWC38_SpisGene14613,Stylophora pistillata (Smooth cauliflower coral),integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]; cytochrome-c oxidase activity [GO:0004129],GO:0004129; GO:0005739; GO:0016021,A0A2B4RX66,A0A2B4RX66
Spis_Protein1694,A0A2B4RX69,Snap25,Synaptosomal-associated protein,A0A2B4RX69,A0A2B4RX69_STYPI,unreviewed,Synaptosomal-associated protein,Snap25 AWC38_SpisGene13274,Stylophora pistillata (Smooth cauliflower coral),"neuron projection [GO:0043005]; nucleus [GO:0005634]; synapse [GO:0045202]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]",GO:0000981; GO:0003677; GO:0005634; GO:0043005; GO:0045202,A0A2B4RX69,A0A2B4RX69
Spis_Protein1695,A0A2B4RX76,BIRC6,Baculoviral IAP repeat-containing protein 6,A0A2B4RX76,A0A2B4RX76_STYPI,unreviewed,Baculoviral IAP repeat-containing protein 6,BIRC6 AWC38_SpisGene14624,Stylophora pistillata (Smooth cauliflower coral),ubiquitin ligase complex [GO:0000151]; calcium ion binding [GO:0005509]; ubiquitin-ubiquitin ligase activity [GO:0034450]; ubiquitin-dependent protein catabolic process [GO:0006511],GO:0000151; GO:0005509; GO:0006511; GO:0034450,A0A2B4RX76,A0A2B4RX76
Spis_Protein1696,A0A2B4RX83,hsdl2,Hydroxysteroid dehydrogenase-like protein 2,A0A2B4RX83,A0A2B4RX83_STYPI,unreviewed,Hydroxysteroid dehydrogenase-like protein 2,hsdl2 AWC38_SpisGene14679,Stylophora pistillata (Smooth cauliflower coral),peroxisome [GO:0005777],GO:0005777,A0A2B4RX83,A0A2B4RX83
Spis_Protein1697,A0A2B4RX85,USP24,Ubiquitin carboxyl-terminal hydrolase 24,A0A2B4RX85,A0A2B4RX85_STYPI,unreviewed,Ubiquitin carboxyl-terminal hydrolase 24,USP24 AWC38_SpisGene12377,Stylophora pistillata (Smooth cauliflower coral),thiol-dependent ubiquitinyl hydrolase activity [GO:0036459]; protein deubiquitination [GO:0016579],GO:0016579; GO:0036459,A0A2B4RX85,A0A2B4RX85
Spis_Protein1698,A0A2B4RX87,opuD,Glycine betaine transporter OpuD,A0A2B4RX87,A0A2B4RX87_STYPI,unreviewed,Glycine betaine transporter OpuD,opuD AWC38_SpisGene14346,Stylophora pistillata (Smooth cauliflower coral),integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]; nitrogen compound transport [GO:0071705],GO:0005886; GO:0016021; GO:0022857; GO:0071705,A0A2B4RX87,A0A2B4RX87
Spis_Protein1699,A0A2B4RX88,DHX16,Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16,A0A2B4RX88,A0A2B4RX88_STYPI,unreviewed,Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16,DHX16 AWC38_SpisGene13239,Stylophora pistillata (Smooth cauliflower coral),helicase activity [GO:0004386],GO:0004386,A0A2B4RX88,A0A2B4RX88
